nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
316.9435, 275.6902, 361.8351, 232.0514, 282.8951, 231.5896, 434.8097, 248.844, 245.0974, 247.9753, 543.6411, 429.7836, 175.0894, 423.5411
317.5479, 272.8788, 362.3515, 228.7134, 283.6041, 228.7954, 436.239, 245.0712, 246.6031, 245.4707, 542.8917, 428.5157, 176.8255, 420.492
322.9521, 277.1877, 367.5215, 232.9051, 287.0531, 232.1865, 437.7278, 249.1964, 246.3513, 248.4195, 542.5953, 430.6414, 175.4518, 422.831
320.4685, 278.4807, 364.2423, 235.0039, 285.0897, 234.475, 434.5641, 250.5349, 245.7632, 250.4838, 542.3168, 430.2077, 179.062, 421.1523
223.4779, 316.3604, 261.7003, 267.9948, 183.6096, 271.1321, 319.6463, 233.6464, 140.5064, 242.5297, 405.2473, 364.1209, 95.6965, 365.1841
217.8833, 315.3803, 256.8177, 269.0339, 179.413, 271.323, 314.4288, 235.7463, 137.0937, 241.3144, 397.2675, 359.6231, 90.1044, 360.8479
218.8536, 315.2067, 255.8706, 268.4082, 179.2753, 272.5015, 312.6609, 232.3796, 136.9859, 242.328, 398.2234, 358.6821, 89.7112, 358.5788
217.4437, 315.0873, 256.3736, 270.3181, 179.5387, 271.9657, 314.0616, 239.4768, 138.0114, 243.4999, 399.0799, 359.0489, 93.4212, 358.207
218.9887, 316.6992, 258.6158, 269.6761, 179.9096, 271.4095, 316.4213, 235.0085, 136.616, 239.3848, 402.2019, 359.6406, 85.2767, 360.8212
216.8165, 314.6133, 254.8381, 271.7615, 181.6323, 272.2938, 313.035, 242.858, 143.7883, 244.6603, 403.5787, 363.7939, 88.9299, 359.6967
224.4728, 318.5876, 262.6606, 273.0924, 184.6453, 274.1044, 318.2481, 240.5103, 141.008, 245.8381, 396.6241, 368.8646, 107.7954, 360.1962
219.0519, 321.9593, 259.7517, 277.0544, 182.3461, 276.2598, 320.464, 242.7245, 142.5091, 241.902, 406.6704, 365.6372, 88.5563, 358.6295
220.1498, 323.2394, 260.351, 278.145, 182.8827, 278.5202, 321.3087, 242.9303, 143.4761, 244.6066, 407.3271, 363.5177, 91.8975, 359.4747
222.7769, 321.8515, 261.3026, 278.7903, 185.456, 278.3138, 318.3076, 248.6565, 144.6384, 250.317, 399.1862, 370.7568, 107.0154, 358.9872
222.8446, 321.7772, 262.3989, 279.584, 187.1755, 277.6656, 319.6844, 245.5114, 147.5033, 242.9263, 395.2967, 360.9936, 106.9872, 347.1866
218.5116, 318.7867, 260.03, 275.2063, 183.4425, 273.6874, 322.302, 247.0127, 145.7903, 243.9039, 405.5222, 365.0141, 96.1455, 358.1117
220.0017, 318.2749, 259.3506, 277.1264, 185.7026, 274.7252, 316.3432, 246.8562, 147.5777, 242.8183, 396.0711, 357.8476, 109.8675, 350.7382
375.2391, 230.5794, 417.5698, 180.5907, 335.2465, 185.8221, 487.4879, 166.9737, 291.9438, 179.0242, 573.4711, 302.7639, 214.4464, 311.0142
379.7465, 229.483, 422.9047, 178.6796, 337.4598, 182.6109, 491.2991, 163.2753, 290.3078, 172.998, 576.0531, 305.1349, 212.7192, 310.5357
378.7655, 231.1375, 421.3926, 179.1203, 337.1165, 185.1424, 491.5936, 162.0567, 291.571, 176.2407, 576.16, 302.826, 213.0021, 313.9285
378.5464, 228.8004, 421.1557, 177.8481, 337.1868, 182.8301, 490.7498, 166.0772, 291.9209, 178.2268, 580.4438, 315.3973, 213.7752, 316.6533
380.4853, 227.4969, 422.9372, 176.1138, 338.9597, 181.9986, 492.3193, 162.918, 293.5344, 176.965, 575.0148, 306.5506, 216.6294, 315.5613
379.3376, 228.7361, 421.2319, 176.8141, 337.4013, 183.718, 493.3437, 160.3248, 293.4533, 177.1175, 584.6252, 304.4223, 220.1335, 311.0363
379.475, 229.2847, 422.4939, 178.8517, 339.3513, 183.8451, 493.7135, 168.4401, 295.8386, 180.3847, 573.7471, 308.3661, 223.7437, 316.2823
381.2845, 228.3416, 424.0941, 177.8833, 339.7738, 182.8796, 493.6332, 165.5908, 294.4942, 177.8811, 573.2297, 304.6143, 223.832, 308.3536
380.9386, 227.0675, 422.7986, 173.994, 336.607, 182.4001, 494.7553, 159.5935, 290.7195, 179.9149, 582.6673, 307.1742, 221.0333, 310.3084
