nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
323.5968,314.6173,375.0096,262.0365,279.9222,259.1607,448.8328,247.8953,228.8495,241.9333,535.1299,370.325,170.9663,362.7597
324.4248,313.3441,374.8367,261.1376,279.8711,259.7787,447.3673,246.8444,227.8354,244.8525,519.3274,368.9205,177.8521,357.566
323.7531,317.3233,375.8059,264.6717,279.5137,261.1535,452.1337,252.243,228.9384,245.443,537.5338,376.6884,178.5745,358.9913
324.1816,318.0047,375.4187,265.1391,280.1707,262.9286,449.7624,250.5956,228.0353,246.8762,530.5661,375.1608,173.6017,363.2055
323.8571,318.0289,376.2277,266.3821,280.5157,262.6683,453.2235,252.7391,230.4895,245.3356,540.3617,370.3222,175.8553,359.5172
328.3855,313.2412,379.7975,258.2691,282.6111,257.5111,455.9724,241.747,230.6188,240.8074,547.2977,370.6432,167.7456,362.7478
324.5757,313.0558,375.1694,259.7502,279.8795,258.3988,449.2585,245.8496,227.747,244.1186,529.3758,369.6639,176.733,359.904
325.6233,318.9246,377.6544,265.6913,280.6631,263.0856,451.3721,249.5858,226.8165,244.7299,529.13,370.6032,171.1678,360.2419
326.1363,328.08,378.1407,274.734,279.8203,272.7433,454.0495,254.4846,226.5792,251.2967,545.0126,366.5751,170.4725,359.0715
327.6188,332.5553,379.9024,279.1843,280.5557,278.4028,454.7101,260.5414,226.7554,259.2239,531.8315,361.4759,179.9794,356.2473
328.2043,343.9192,378.0323,289.6926,281.5383,291.0822,453.4483,264.8392,229.7295,268.8956,530.7512,373.2378,184.2072,365.5189
330.1194,348.9,380.0871,290.2419,281.7965,292.8958,454.4141,260.6486,229.2617,267.4223,510.2228,386.8344,178.3738,374.0627
328.8442,347.4938,379.0298,292.7888,281.4063,293.7725,453.4864,267.3813,227.7763,270.6336,531.537,377.4123,177.1766,369.6417
406.1387,305.8713,449.8258,248.8062,352.3039,254.9195,505.5216,222.0464,281.6303,237.3596,560.4624,323.8527,221.633,347.2874
404.4871,304.843,448.2078,244.157,348.5322,255.0544,511.0002,218.2131,282.7888,244.7592,570.8446,326.9587,224.8652,357.4932
401.648,302.1711,443.4995,243.0768,347.4643,253.8615,504.3123,214.6836,283.5688,240.8469,569.2147,327.3155,220.0721,356.1165
402.7911,302.8041,444.4809,243.9517,348.9075,254.6511,505.5654,212.9027,285.9754,239.1431,569.0175,324.385,225.5587,350.3407
400.8116,307.2997,442.6509,247.795,345.0813,259.9137,505.7204,220.9795,281.3247,250.582,573.3879,328.9418,229.0594,359.5212
397.8521,304.5564,439.3632,245.3121,342.9131,257.1164,502.0381,218.1249,280.1118,246.9962,569.7936,329.9465,225.8498,357.2033
399.069,311.2045,441.9666,252.1331,343.5734,262.4809,502.9259,224.1843,276.8929,249.3151,571.7347,327.8098,218.8461,359.3464
397.9427,312.6736,441.473,252.6281,341.7927,263.2171,504.9005,225.07,276.0551,250.9375,574.3101,331.8829,222.4197,362.4017
393.6875,308.625,436.4756,249.5336,339.4684,261.807,503.5719,225.7193,280.0246,255.2445,575.5334,333.7753,227.6614,365.7975
390.6254,309.8769,433.6223,249.6853,335.4614,263.0336,502.2018,223.4491,275.9519,255.437,571.2703,329.6688,227.2662,364.1865
395.6472,308.8545,437.7536,246.485,337.073,261.1627,503.9744,218.3802,273.197,254.166,573.9243,331.0105,227.405,362.6938
399.2081,304.3608,441.545,244.9998,343.1852,256.1875,503.6358,217.5696,277.8006,245.0433,572.2258,326.7896,223.3881,355.5837
398.3564,309.4133,439.7841,247.7375,341.2112,261.3791,504.9237,219.8517,278.0121,253.3859,579.4106,336.4074,228.1002,366.4028
393.1165,309.8594,436.8049,250.0858,338.8322,260.9312,504.0541,223.7507,278.3943,250.1618,577.8237,335.8938,226.1344,364.0804
352.2162,336.6156,405.095,276.9948,302.1766,277.3168,488.775,220.6587,246.3915,223.0979,576.3934,345.0328,166.0707,327.4162
361.4617,316.1983,415.6587,252.7453,309.1986,253.3413,499.6018,200.0504,251.4419,203.0875,582.7347,344.7058,174.1465,328.7589
359.9043,311.8934,414.42,245.1049,305.8032,248.4156,502.6493,189.9886,248.6933,199.1042,584.9592,340.8896,172.2607,328.0962
361.1932,304.9372,412.8181,240.9802,309.1862,244.6722,496.8142,186.7681,254.0313,196.6225,582.6936,339.9394,174.0602,326.1317
358.684,303.1394,413.7406,239.006,307.9818,238.5547,499.6343,190.8483,252.0554,191.1934,583.2961,341.0799,171.1203,328.211
355.5098,298.7079,408.6506,237.6942,307.8698,238.0914,497.3597,188.7611,257.8816,190.7957,587.1454,337.3633,177.9822,319.1938
361.8813,306.9598,414.9614,243.5397,310.3242,245.0342,498.962,189.0013,253.8817,193.8233,586.6649,338.9122,168.6248,325.1151
357.7977,306.8297,413.0578,243.0297,307.2729,243.1138,502.0595,193.4636,252.9987,195.0245,589.3511,341.2151,173.198,326.8905
356.6719,306.027,410.108,242.5805,305.3953,244.2195,497.438,189.3341,251.3558,194.7515,587.5832,336.5175,175.2335,323.3865
362.7261,311.1728,416.3463,245.9899,308.6728,247.9487,499.7397,190.3198,249.593,196.8583,584.0893,341.3135,172.9701,327.0866
366.31,313.635,421.2059,245.1109,310.2734,248.4408,506.4133,184.7906,249.4931,193.8906,584.8882,339.4785,170.0162,328.9314
361.803,312.4274,416.4221,246.0453,306.7398,249.1998,504.0546,190.046,248.7147,198.9722,590.5282,336.3784,177.601,326.6363
362.544,316.0978,417.541,249.2429,306.8462,251.0175,502.3854,194.6999,245.869,200.861,587.8757,344.8147,170.6348,329.8386
358.2905,316.0217,415.4648,248.0682,301.379,249.7304,504.896,196.4359,240.4296,202.3777,589.0062,340.1078,172.1953,327.1912
331.2159,272.9458,388.2826,215.0578,283.6859,208.1591,469.0454,195.7948,225.9605,181.8647,571.554,326.1651,145.1357,322.4948
328.574,272.9754,385.8868,215.9948,283.1431,209.0394,467.0712,196.0618,226.6431,181.2721,564.9934,325.3313,141.8077,319.0455
332.2422,273.1943,387.6088,214.3582,283.1385,209.1254,465.6956,192.5594,223.9625,183.1104,572.3182,327.627,144.2442,326.2475
341.834,257.1522,400.4306,199.6636,292.5715,191.747,477.3766,187.4654,230.0936,170.5028,571.2051,321.1767,142.7525,316.7413
340.5063,257.5826,400.0024,200.0809,292.0511,191.5768,477.8199,187.0867,230.251,168.274,569.7401,320.3375,142.11,316.082
344.6982,257.6321,404.2077,198.9792,293.8422,190.7512,479.7462,185.4881,228.7678,167.7696,573.0779,323.5828,140.9085,317.1869
341.113,249.9827,401.0083,192.1228,291.9665,183.3852,477.7161,179.3088,229.0122,160.0767,566.8746,319.1767,139.5929,312.7915
339.6808,248.737,399.6304,191.4964,290.9225,181.8594,476.2954,181.7336,228.2504,160.5144,569.009,324.3227,140.7063,314.709
338.5638,249.8506,397.2089,191.9906,290.8638,184.9828,475.9178,181.0011,230.7299,165.433,568.6284,319.8703,141.8608,313.6066
340.7068,250.0922,400.1144,191.2315,291.1228,182.4617,477.7015,176.3608,228.8359,157.8267,576.0561,324.5765,141.8559,315.2521
340.9115,249.0708,399.9056,191.8146,292.3981,183.5744,477.003,179.7722,230.8457,161.8702,573.0765,320.9005,142.4363,313.9124
345.1779,240.902,402.116,184.3969,296.1396,177.4451,476.5695,176.4408,234.2286,161.9941,575.7519,321.0868,145.2285,314.724
345.239,242.843,402.4241,187.5206,297.901,178.9201,474.8615,178.1912,235.8555,159.7589,573.7839,321.5862,141.0681,314.7528
385.2975,295.9105,439.9327,238.1202,337.2435,237.0819,514.0779,235.3745,280.1011,233.0327,583.0525,386.0618,224.8948,376.2598
387.1927,297.6333,442.0957,240.1106,340.1399,237.9642,516.0585,234.3931,283.6405,229.4805,582.8478,386.8671,226.3118,372.3296
388.5859,292.6606,442.5481,233.9251,338.8163,235.4747,517.4718,231.6437,281.4456,235.1649,582.7034,386.419,229.9456,373.882
389.0877,294.9829,443.9357,235.6056,340.3432,235.2702,521.2787,229.8159,284.8079,229.241,577.7854,372.8842,233.9526,367.9468
385.7825,293.1557,441.0668,234.9766,337.9862,233.24,514.6544,233.9814,280.5414,229.7345,579.5472,389.1982,223.6027,379.6974
385.4138,295.2126,440.9132,237.2614,338.5674,236.3053,517.4482,232.9381,283.6201,230.061,579.7934,382.2108,229.9888,370.1697
381.8646,295.8883,437.6429,238.2406,336.0437,236.7479,516.9966,235.6119,283.1748,231.7005,584.6855,389.6415,231.0159,372.9693
388.5133,294.5287,442.9143,235.2758,340.238,236.2701,519.6865,229.5684,285.1852,231.4683,581.1149,381.4229,232.3002,370.1396
385.6445,295.3574,440.4271,236.7415,337.5841,236.6425,517.2798,231.3654,282.276,231.1218,584.7928,379.8385,232.7592,370.628
395.8278,292.9789,448.5184,232.9347,343.6425,235.7855,525.587,229.8804,286.4713,237.5777,562.3188,368.733,250.5146,364.0026
390.0794,293.5079,444.5634,235.5518,340.3182,234.7995,518.9683,233.0331,282.6912,231.7311,572.6568,371.9366,236.9503,364.9682
387.3577,293.785,441.8932,236.386,339.0574,236.3875,516.9084,234.2598,282.366,233.9459,578.5871,379.9923,230.6634,369.2973
383.9804,292.8871,440.7407,235.2312,336.8321,233.8137,519.2866,235.2992,281.8669,231.3043,581.0366,383.7785,232.9143,369.898
386.4498,290.6888,442.0205,233.4016,337.7128,232.0672,518.9586,234.6811,281.81,231.7111,571.3445,373.6132,236.9805,365.3028
322.696,281.2632,370.9129,232.7496,283.9862,229.9878,440.0212,234.7076,238.9471,228.4473,519.1552,378.6397,182.1653,367.0331
323.2986,283.3326,371.2579,234.5262,282.9182,232.4088,438.8128,237.7687,236.2087,233.3987,516.3099,380.9998,182.8909,371.2661
321.2058,284.1414,368.387,235.2303,280.707,233.3789,435.9588,238.4201,232.7002,235.2835,511.2031,382.7701,177.3995,375.8427
