nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
378.5222,261.065,292.6744,258.226,455.2191,277.5281,249.9341,268.9876,547.0394,454.6852,161.5778,447.671,330.1544,306.7334
381.1032,260.1672,295.5494,257.3785,456.3579,277.651,252.5607,268.9523,545.1973,447.7071,166.6049,441.0545,330.7048,308.9004
380.6088,262.4254,296.3522,259.5365,454.6197,278.7553,253.6823,270.4324,545.1961,452.7278,167.2103,442.1267,333.9976,313.0937
382.9022,265.5681,298.4513,263.9402,455.6835,279.7671,254.7027,274.2278,542.563,448.8718,164.9434,445.6375,327.6083,273.5203
372.5171,231.7069,293.2123,229.753,442.2223,252.0569,253.3057,248.2415,544.5437,433.3438,179.6554,420.9129,327.2809,276.1378
373.098,233.1451,293.3261,231.6203,446.2989,252.8345,254.3767,249.6805,553.8065,435.9827,176.5876,424.9487,324.2843,274.0751
369.8,231.4113,291.5502,229.3502,443.1859,251.0231,254.2898,246.6204,551.3428,436.3699,179.647,423.9017,324.3036,273.5244
369.2536,230.5893,290.9649,228.9987,440.2504,250.1977,252.4446,246.8125,545.6158,435.8788,175.3148,426.7801,323.0139,274.6584
367.839,231.5747,289.74,230.2778,439.5412,249.4792,251.7711,246.7573,545.6163,432.9916,174.7343,425.4879,324.7693,274.1857
369.2814,231.58,291.5743,230.7668,440.6848,249.7701,253.961,247.931,544.087,430.8745,177.4931,423.1762,322.6197,273.6619
367.3162,229.894,289.1058,229.6225,440.4937,247.8118,251.9328,247.24,545.5142,431.9204,176.9655,426.1645,323.4453,276.2484
367.5209,232.9171,289.2436,232.4374,439.7283,250.1309,251.4214,249.8495,546.9586,435.4031,178.6885,422.6172,288.7966,200.4561
321.5891,170.81,266.5053,170.016,371.7636,188.7285,242.8301,186.5106,444.9901,350.1151,203.0732,348.3968,288.7455,200.1779
323.2284,170.6226,266.2881,168.1742,374.7823,190.4132,241.7852,184.3464,448.8224,350.584,195.3496,350.9637,288.0478,201.8794
321.7842,172.221,266.7159,169.6724,372.6612,189.9895,243.3016,183.5797,446.4454,351.0707,201.8233,347.3293,288.5307,200.6954
323.9378,170.7515,266.3163,167.2304,375.9824,190.6353,240.9295,182.5729,451.2972,352.1385,199.6484,349.7876,288.7057,199.4112
322.7172,170.4607,266.2488,166.8564,372.8232,190.0771,240.9982,182.5987,452.5743,355.7827,197.4393,345.6044,290.1396,199.8917
323.536,170,267.6689,167.7362,372.3219,187.6615,242.4176,181.9047,446.5892,347.9413,195.5571,347.6018,289.9733,199.4155
324.1237,170.7685,267.4728,167.7663,372.8216,190.81,241.4339,183.6723,443.3506,348.307,202.525,345.6745,290.0292,200.3326
